1000
(45, 100)
(78, 13)
(12, 24)
(0, 45)
(21, 12)
(27, 2)
(81, 32)
(10, 12)
(43, 56)
(1, 68)
(69, 25)
(94, 4)
(38, 31)
(71, 82)
(54, 57)
(58, 44)
(59, 79)
(72, 91)
(86, 77)
(85, 88)
(42, 96)
(59, 78)
(27, 75)
(64, 63)
(26, 19)
(16, 63)
(27, 77)
(12, 71)
(37, 15)
(66, 62)
(76, 23)
(80, 55)
(88, 78)
(36, 27)
(40, 86)
(79, 43)
(94, 98)
(27, 21)
(44, 58)
(88, 28)
(28, 29)
(24, 30)
(31, 47)
(47, 6)
(41, 65)
(65, 19)
(3, 41)
(7, 89)
(15, 59)
(71, 34)
(48, 95)
(55, 21)
(40, 18)
(64, 86)
(66, 51)
(100, 35)
(27, 42)
(40, 21)
(64, 54)
(22, 92)
(9, 26)
(56, 51)
(75, 18)
(61, 58)
(37, 71)
(47, 53)
(60, 83)
(76, 100)
(97, 6)
(80, 52)
(86, 91)
(70, 88)
(91, 55)
(43, 71)
(99, 13)
(60, 51)
(32, 76)
(34, 43)
(92, 100)
(0, 82)
(51, 29)
(23, 50)
(96, 17)
(43, 96)
(48, 13)
(98, 77)
(21, 68)
(97, 66)
(16, 39)
(55, 58)
(65, 66)
(10, 59)
(11, 35)
(39, 31)
(54, 97)
(78, 11)
(54, 36)
(71, 45)
(64, 36)
(2, 91)
(57, 42)
(45, 79)
(38, 97)
(28, 80)
(4, 23)
(80, 40)
(69, 87)
(36, 6)
(89, 51)
(14, 39)
(23, 37)
(33, 77)
(27, 35)
(11, 44)
(55, 59)
(74, 63)
(33, 41)
(76, 92)
(87, 21)
(30, 77)
(76, 77)
(69, 92)
(95, 15)
(12, 55)
(32, 15)
(32, 29)
(45, 94)
(85, 82)
(28, 73)
(73, 65)
(2, 59)
(86, 17)
(95, 71)
(60, 77)
(2, 77)
(59, 95)
(55, 71)
(90, 37)
(99, 40)
(52, 88)
(57, 77)
(29, 67)
(55, 72)
(19, 90)
(33, 49)
(38, 65)
(8, 35)
(33, 29)
(72, 7)
(51, 23)
(61, 65)
(94, 53)
(40, 28)
(8, 25)
(6, 9)
(94, 55)
(77, 0)
(100, 29)
(63, 65)
(17, 27)
(46, 15)
(37, 93)
(14, 30)
(53, 64)
(80, 47)
(70, 6)
(51, 10)
(69, 78)
(77, 60)
(34, 46)
(84, 3)
(70, 21)
(64, 42)
(46, 12)
(85, 76)
(90, 28)
(89, 25)
(95, 11)
(44, 68)
(63, 47)
(16, 57)
(66, 12)
(1, 61)
(31, 69)
(96, 6)
(6, 46)
(10, 49)
(91, 84)
(67, 76)
(56, 34)
(33, 52)
(77, 88)
(90, 92)
(20, 92)
(80, 18)
(76, 57)
(65, 54)
(20, 13)
(61, 77)
(60, 13)
(21, 13)
(66, 45)
(14, 37)
(65, 97)
(26, 56)
(61, 78)
(9, 82)
(49, 80)
(4, 64)
(27, 18)
(86, 33)
(88, 80)
(90, 91)
(41, 72)
(96, 71)
(25, 35)
(97, 24)
(24, 87)
(3, 79)
(19, 71)
(39, 91)
(93, 10)
(90, 17)
(72, 52)
(62, 83)
(10, 19)
(5, 53)
(83, 9)
(46, 0)
(22, 5)
(57, 91)
(24, 45)
(11, 74)
(82, 51)
(58, 34)
(71, 30)
(43, 65)
(89, 44)
(79, 10)
(86, 53)
(65, 8)
(86, 48)
(34, 83)
(14, 44)
(26, 68)
(89, 9)
(33, 72)
(30, 22)
(54, 7)
(17, 56)
(15, 81)
(93, 25)
(39, 84)
(33, 5)
(38, 88)
(50, 23)
(31, 75)
(16, 27)
(65, 27)
(32, 14)
(0, 95)
(54, 79)
(28, 98)
(39, 33)
(50, 61)
(87, 96)
(87, 55)
(96, 68)
(19, 51)
(85, 93)
(70, 79)
(79, 99)
(67, 19)
(62, 33)
(4, 28)
(1, 67)
(80, 33)
(44, 11)
(75, 2)
(84, 60)
(20, 77)
(29, 46)
(30, 54)
(27, 34)
(85, 52)
(18, 16)
(0, 78)
(3, 47)
(34, 26)
(91, 71)
(18, 24)
(11, 32)
(62, 76)
(5, 43)
(50, 22)
(68, 87)
(65, 45)
(45, 24)
(68, 85)
(81, 90)
(40, 48)
(46, 22)
(16, 19)
(23, 51)
(85, 87)
(78, 62)
(30, 50)
(7, 11)
(52, 98)
(70, 70)
