200
(8, 70)
(12, 52)
(82, 89)
(3, 46)
(41, 20)
(54, 4)
(11, 52)
(100, 86)
(82, 25)
(40, 4)
(8, 36)
(80, 84)
(92, 18)
(53, 66)
(90, 3)
(98, 86)
(96, 87)
(45, 57)
(71, 94)
(68, 22)
(60, 54)
(78, 4)
(77, 81)
(17, 93)
(25, 39)
(1, 50)
(11, 50)
(34, 68)
(93, 15)
(36, 80)
(87, 29)
(10, 32)
(59, 52)
(4, 99)
(83, 9)
(3, 43)
(30, 92)
(40, 33)
(3, 11)
(87, 27)
(51, 91)
(68, 40)
(91, 27)
(22, 17)
(6, 96)
(57, 77)
(7, 52)
(44, 4)
(22, 79)
(31, 95)
(82, 56)
(61, 99)
(91, 83)
(89, 73)
(58, 89)
(46, 41)
(19, 29)
(20, 64)
(52, 31)
(84, 58)
(18, 43)
(51, 21)
(3, 20)
(73, 8)
(46, 72)
(46, 32)
(10, 66)
(76, 25)
(50, 45)
(43, 50)
(97, 11)
(33, 90)
(8, 66)
(54, 94)
(55, 33)
(47, 93)
(77, 91)
(68, 44)
(87, 2)
(83, 62)
(87, 12)
(55, 91)
(95, 92)
(58, 80)
(72, 44)
(89, 20)
(76, 61)
(61, 61)
(23, 33)
(11, 28)
(92, 88)
(72, 51)
(67, 93)
(39, 59)
(16, 95)
(4, 14)
(63, 70)
(29, 59)
(68, 28)
(55, 80)
(8, 76)
(10, 57)
(50, 35)
(47, 69)
(34, 95)
(79, 16)
(82, 57)
(73, 6)
(94, 90)
(27, 57)
(75, 58)
(63, 98)
(98, 18)
(70, 72)
(88, 48)
(53, 45)
(26, 50)
(60, 9)
(79, 74)
(99, 68)
(51, 72)
(51, 82)
(22, 26)
(85, 4)
(16, 86)
(95, 80)
(18, 7)
(5, 79)
(54, 65)
(50, 72)
(52, 56)
(99, 27)
(50, 81)
(11, 72)
(23, 10)
(94, 93)
(33, 23)
(91, 10)
(90, 88)
(17, 2)
(27, 41)
(23, 60)
(32, 51)
(70, 16)
(94, 86)
(29, 85)
(44, 22)
(89, 31)
(92, 5)
(2, 46)
(14, 78)
(97, 73)
(94, 44)
(59, 11)
(76, 13)
(21, 7)
(77, 35)
(42, 30)
(20, 76)
(73, 38)
(33, 60)
(34, 43)
(33, 49)
(42, 27)
(7, 40)
(35, 64)
(63, 44)
(93, 32)
(38, 15)
(89, 46)
(62, 27)
(85, 70)
(85, 83)
(69, 94)
(78, 27)
(90, 38)
(66, 78)
(98, 11)
(49, 9)
(68, 87)
(16, 66)
(69, 42)
(36, 97)
(11, 17)
(86, 47)
(25, 67)
(16, 82)
(32, 81)
(7, 27)
(36, 27)
(68, 97)
(71, 63)
(78, 61)
(66, 98)
(50, 100)
(93, 84)
(98, 59)
(74, 54)
(54, 100)
(92, 33)
